Id,Tag,Groups,DescEng,DescRus,Algorithms_ConvAlg,Algorithms_CalcAlg,Algorithms_BlockAlg,PLC_PLCNo,PLC_FC,PLC_Input_Type,PLC_Input_Block,PLC_Input_Word,PLC_Input_Bit,PLC_Output_Type,PLC_Output_Block,PLC_Output_Word,PLC_Output_Bit,PLC_INP,SignalHigh,SignalLow,AlarmLow,AlarmHigh,Constant1,EngUnitId
764,050AG280M01_I01,991CD100G51,Agitator Current,"Мешалка, ток",4 Int/Ext,1,0 No Algorithm,991,0,Float,9,256,0,,0,0,0,%DB9.DBD256,0.0,100.0,0.0,29.0,1.0,A
765,050AG281M01_I01,991CD100G52,Agitator Current,"Мешалка, ток",4 Int/Ext,1,0 No Algorithm,991,0,Float,9,260,0,,0,0,0,%DB9.DBD260,0.0,100.0,0.0,25.0,1.0,A
1126,050SF280U01_SP,991CD100G51,Starch SetPoint,Уставка по крахмалу,4 Int/Ext,1,0 No Algorithm,991,0,Float,17,936,0,Float,17,936,0,%DB17.DBD936,0.0,1800.0,0.0,0.0,1.0,g/t
1131,050SF280U01_PV_SP,991CD100G51,Starch Calculated Flow PV,Расчетный объем подачи крахмала,4 Int/Ext,1,0 No Algorithm,991,0,Float,17,956,0,Float,17,956,0,%DB17.DBD956,0.0,10000.0,0.0,0.0,1.0,g/min
1127,050SF281U01_SP,991CD100G52,Starch SetPoint,Уставка по крахмалу,4 Int/Ext,1,0 No Algorithm,991,0,Float,17,940,0,Float,17,940,0,%DB17.DBD940,0.0,1800.0,0.0,0.0,1.0,g/t
1132,050SF281U01_PV_SP,991CD100G52,Starch Calculated Flow PV,Расчетный объем подачи крахмала,4 Int/Ext,1,0 No Algorithm,991,0,Float,17,960,0,Float,17,960,0,%DB17.DBD960,0.0,10000.0,0.0,0.0,1.0,g/min
-3914,920PU375_75I01,992CD100G04,920PU375 Flow,920PU375 Регулятор CuSo4,33 Controller Mode (V7.7),0,41 Siemens V77 PID,992,3567,16 Bit/Time,21,268,0,16 Bit,3567,82,0,%DB21.DBD268,,,,,,
1991,920PU375_75I01_SPA,992CD100G04,920PU375 Flow,920PU375 Регулятор CuSo4,3 Stop/Run,1,41 Siemens V77 PID,992,3567,Float,20,536,0,Float,20,536,0,%DB20.DBD536,0.0,50.0,0.0,0.0,100.0,l/min
1992,920PU375_75I01_SPM,992CD100G04,920PU375 Flow,920PU375 Регулятор CuSo4,4 Int/Ext,1,41 Siemens V77 PID,992,3567,Float,20,540,0,Float,20,540,0,%DB20.DBD540,0.0,100.0,0.0,0.0,100.0,%
1355,905RP100A01WORD140,992CD100G04,"920-TK370-N01
. Water Flow","920-TK370-N01
. Расход воды",1 Off/On,50,42 Siemens V77 Ext AI,992,3108,Flt/Trig/Sts,15,1296,0,,0,0,0,%DB15.DBD1296,0.0,6.0,0.0,0.0,1.0,l/min
-3910,920PU374_75I01,992CD100G04,TK904 FeSo4 Flow,TK904 FeSo4 поток,33 Controller Mode (V7.7),0,41 Siemens V77 PID,992,3565,16 Bit/Time,21,260,0,16 Bit,3565,82,0,%DB21.DBD260,,,,,,
1983,920PU374_75I01_SPA,992CD100G04,TK904 FeSo4 Flow,Поток FeSo4 ТК904,3 Stop/Run,1,41 Siemens V77 PID,992,3565,Float,20,520,0,Float,20,520,0,%DB20.DBD520,0.0,6.0,0.0,0.0,100.0,l/min
1984,920PU374_75I01_SPM,992CD100G04,TK904 FeSo4 Flow,Поток FeSo4 ТК904,4 Int/Ext,1,41 Siemens V77 PID,992,3565,Float,20,524,0,Float,20,524,0,%DB20.DBD524,0.0,100.0,0.0,0.0,100.0,%
1358,905RP100A01WORD146,992CD100G04,"920-PU374-N01
.TK904 CuSo4 Flow","920-PU374-N01
. Расход CuSo4",1 Off/On,50,42 Siemens V77 Ext AI,992,3111,Flt/Trig/Sts,15,1332,0,,0,0,0,%DB15.DBD1332,0.0,6.0,0.0,0.0,1.0,l/min
235,050TK281N01A01,991CD100G52,"Conditioning Tank, pH","Чан контактный, рН",1 Off/On,50,42 Siemens V77 Ext AI,991,3162,Flt/Trig/Sts,15,1944,0,,0,0,0,%DB15.DBD1944,1.0,14.0,0.0,0.0,1.0,pH
842,050FL235M01_I01,991CD100G52,Rotor-1 Current,"Ротор-1, ток",4 Int/Ext,1,0 No Algorithm,991,0,Float,9,568,0,,0,0,0,%DB9.DBD568,0.0,500.0,0.0,0.0,1.0,A
-1939,050FL235I01,991CD100G52,Level control Y50/Y51 Mode,Режим контроля уровня Y50/51,33 Controller Mode (V7.7),0,41 Siemens V77 PID,991,3522,16 Bit/Time,21,88,0,16 Bit,3522,82,0,%DB21.DBD88,,,,,,
948,050FL235I01_SPA,991CD100G52,Level control Y50/Y51,Контроль уровня Y50/Y51,3 Stop/Run,1,41 Siemens V77 PID,991,3522,Float,20,176,0,Float,20,176,0,%DB20.DBD176,0.0,500.0,0.0,0.0,500.0,mm
949,050FL235I01_SPM,991CD100G52,Level control Y50/Y51,Контроль уровня Y50/Y51,4 Int/Ext,1,41 Siemens V77 PID,991,3522,Float,20,180,0,Float,20,180,0,%DB20.DBD180,0.0,100.0,0.0,0.0,100.0,%
236,050FL235N01L01,991CD100G52,Rougher&Scavanger FlotationLevel,Контрольная флот. Уровень,1 Off/On,50,42 Siemens V77 Ext AI,991,3163,Flt/Trig/Sts,15,1956,0,,0,0,0,%DB15.DBD1956,0.0,500.0,0.0,0.0,1.0,mm
843,050FL235M02_I01,991CD100G52,Rotor-2 Current,"Ротор-2, ток",4 Int/Ext,1,0 No Algorithm,991,0,Float,9,572,0,,0,0,0,%DB9.DBD572,0.0,500.0,0.0,0.0,1.0,A
-1940,050FL235I02,991CD100G52,Level control Y60/Y61 Mode,Режим контроля уровня Y60/61,33 Controller Mode (V7.7),0,41 Siemens V77 PID,991,3523,16 Bit/Time,21,92,0,16 Bit,3523,82,0,%DB21.DBD92,,,,,,
952,050FL235I02_SPA,991CD100G52,Level control Y60/Y61,Контроль уровня Y60/Y61,3 Stop/Run,1,41 Siemens V77 PID,991,3523,Float,20,184,0,Float,20,184,0,%DB20.DBD184,0.0,500.0,0.0,0.0,500.0,mm
953,050FL235I02_SPM,991CD100G52,Level control Y60/Y61,Контроль уровня Y60/Y61,4 Int/Ext,1,41 Siemens V77 PID,991,3523,Float,20,188,0,Float,20,188,0,%DB20.DBD188,0.0,100.0,0.0,0.0,100.0,%
237,050FL235N06L01,991CD100G52,Rougher&Scavanger FlotationLevel,Контрольная флот. Уровень,1 Off/On,50,42 Siemens V77 Ext AI,991,3164,Flt/Trig/Sts,15,1968,0,,0,0,0,%DB15.DBD1968,0.0,500.0,0.0,0.0,1.0,mm
850,050FL235M03_I01,991CD100G52,Rotor-3 Current,"Ротор-3, ток",4 Int/Ext,1,0 No Algorithm,991,0,Float,9,600,0,,0,0,0,%DB9.DBD600,0.0,500.0,0.0,0.0,1.0,A
855,050FL235M04_I01,991CD100G52,Rotor-4 Current,"Ротор-4, ток",4 Int/Ext,1,0 No Algorithm,991,0,Float,9,620,0,,0,0,0,%DB9.DBD620,0.0,500.0,0.0,0.0,1.0,A
